,x,y,type
c-1,2351.13295911691,4535.62115747211,Monocytes
c-2,2283.66787078508,4537.56190875552,Monocytes
c-3,2327.63672862465,4537.77136980153,Monocytes
c-4,2301.21277308044,4540.50632272035,Monocytes
c-5,2323.42230494925,4546.21886181379,Monocytes
c-6,2299.69006635749,4547.30782041329,Monocytes
c-7,2283.53192203664,4555.6342113366,Monocytes
c-8,2259.1472886006,4527.50060109716,Monocytes
c-9,2257.1244980435,4531.36329256415,Monocytes
c-10,2282.7961969776,4532.48903345526,Monocytes
c-11,2277.09460724594,4533.0096112584,Monocytes
c-12,2309.70079227198,4531.16610068793,Monocytes
c-13,2295.48662991226,4534.7122067076,Monocytes
c-14,2290.8903528466,4540.85169594301,Monocytes
c-15,2343.50861274531,4541.27383764653,Monocytes
c-16,2353.69489004746,4544.99527989742,Fibroblast
c-17,2268.17167624814,4548.34823309461,Fibroblast
c-18,2326.19269539018,4558.80381953041,Monocytes
c-19,2260.00157209828,4558.54156944842,Monocytes
c-20,2304.57062809486,4560.40137080058,Monocytes
c-21,2351.93706449362,4560.25185318279,Fibroblast
c-22,2324.07934555785,4525.52736426144,Monocytes
c-23,2329.23410097135,4544.42582542924,Monocytes
c-24,2324.87955171741,4552.12141020348,Monocytes
c-25,2266.9172320259,4553.0845735385,Monocytes
c-26,2297.84381155031,4554.47455163877,Monocytes
c-27,2289.50377749938,4559.56430831314,Monocytes
c-28,2296.9230535497,4561.76417430625,Monocytes
c-29,2266.79565321675,4507.46183073225,Monocytes
c-30,2270.30917640853,4516.14873098886,Monocytes
c-31,2316.62180006923,4518.47560534495,Monocytes
c-32,2309.43934999931,4523.10261000046,Monocytes
c-33,2339.90719624815,4524.60955801281,Monocytes
c-34,2263.81123939662,4528.0186130606,Monocytes
c-35,2302.78815519886,4531.62496015367,Monocytes
c-36,2286.52718943746,4550.28065241894,Monocytes
c-37,2519.50309318438,4529.09290923298,Proliferating cell
c-38,2506.05159794714,4530.97171257316,Epithelial cell
c-39,2502.3410884733,4535.1729698713,Epithelial cell
c-40,2523.95259756681,4547.0398161458,Proliferating cell
