ligand,receptor,truelabel,pred
A2M,LRP1,1,1,0.9983
ACE,AGTR2,1,1,0.9830
ACTR2,LDLR,0,0,0.2633
ACTR2,LRP2,0,0,0.2604
ADAM10,AXL,1,1,0.9842
ADAM12,ITGA9,1,0,0.8919
ADAM15,ITGA5,1,1,0.9906
ADAM15,ITGA9,0,0,0.3356
ADAM15,ITGB1,0,0,0.1650
ADAM15,ITGB3,0,0,0.1050
ADAM17,ITGB1,0,0,0.6378
ADAM23,ITGA5,0,0,0.1257
ADAM23,ITGB3,1,0,0.6202
ADAM2,CD9,1,1,0.9955
ADAM2,ITGA6,0,0,0.6903
ADAM2,ITGA9,0,0,0.2156
ADAM2,ITGB1,0,0,0.3148
ADAM9,ITGAV,0,0,0.2518
ADCYAP1,ADCYAP1R1,0,0,0.7390
ADCYAP1,ADRB3,0,0,0.6433
ADCYAP1,PTH1R,0,0,0.1088
ADCYAP1,RAMP2,0,0,0.3232
ADIPOQ,ADIPOR1,1,1,0.9809
ADM2,ADCYAP1R1,0,0,0.5153
ADM2,ADRB2,0,0,0.3406
ADM2,ADRB3,0,0,0.8529
ADM2,GPR20,0,0,0.7281
ADM2,PTH1R,0,0,0.0045
ADM2,RAMP3,0,0,0.0363
ADM,ADCYAP1R1,0,0,0.6854
ADM,ADRB2,0,0,0.6253
ADM,GPR84,0,0,0.5947
ADM,VIPR1,0,0,0.1178
AGRN,ATP1A3,1,1,0.9975
AGRN,ITGB1,0,0,0.2175
AGRP,SDC3,0,0,0.3460
AGT,LRP2,0,0,0.3022
AHSG,INSR,1,1,0.9752
ALB,LRP2,1,1,0.9366
AMELX,LAMP1,1,1,0.9412
AMH,ACVR1,1,1,0.9673
AMH,EGFR,0,0,0.1686
ANGPT1,ITGA5,0,0,0.5874
ANGPT4,TEK,0,0,0.0029
ANGPT4,TIE1,1,1,0.9916
ANGPTL4,TIE1,0,0,0.5022
ANXA1,DYSF,1,1,0.9899
ANXA1,GRM7,0,0,0.7356
APLN,GRM7,0,0,0.2716
APOA1,LDLR,1,1,0.9875
APOA1,LRP1,0,0,0.7173
APOA1,LRP2,0,0,0.3801
APOB,CALCR,0,0,0.3695
APOB,ITGAM,0,0,0.5615
APOB,LRP1,0,0,0.8233
APOB,LRP2,0,0,0.5355
APOB,LRP6,0,0,0.2021
APOB,LRP8,0,0,0.5881
APOB,OLR1,0,0,0.1736
APOB,TLR6,1,1,0.9678
APOB,VLDLR,0,0,0.3760
APOC3,LDLR,0,0,0.2513
APOC3,LRP1,0,0,0.5453
APOC3,LRP2,0,0,0.0903
APOC3,TLR2,0,0,0.8076
APOD,LEPR,1,1,0.9356
APOE,CHRNA4,1,1,0.9859
APOE,LDLR,0,0,0.0709
APOE,LRP2,0,0,0.1139
APOE,LRP8,0,0,0.1728
APOE,SCARB1,0,1,0.9100
APP,LRP1,0,0,0.5580
APP,MTNR1A,0,0,0.5716
APP,NGFR,0,0,0.8035
APP,TNFRSF21,1,1,0.9758
AREG,EGFR,1,1,0.9984
ARF1,CHRM3,1,1,0.9861
ARF1,INSR,0,0,0.7472
ARTN,GFRA2,0,0,0.1179
ARTN,GFRA3,0,0,0.3417
ASIP,ATRN,1,1,0.9893
ASIP,F11R,0,0,0.0000
ASIP,MC1R,0,0,0.3400
ASIP,MC3R,0,0,0.4620
AVP,GPR84,0,0,0.4422
AVP,LDLR,0,0,0.7652
AVP,PTH1R,0,0,0.4455
AVP,RAMP2,0,0,0.5268
AVP,RAMP3,1,1,0.9829
B2M,CD247,0,0,0.1603
B2M,KLRC2,0,0,0.2615
B2M,LILRB2,0,0,0.4557
B2M,TFRC,0,0,0.4658
BCAN,NRCAM,1,1,0.9904
BDNF,DDR1,1,1,0.9453
BDNF,NGFR,0,0,0.5592
BDNF,NGFRAP1,0,0,0.8090
BGN,LY96,1,1,0.9808
BGN,TLR1,0,0,0.2781
BMP10,ACVRL1,0,0,0.6950
BMP10,BMPR1A,0,0,0.3785
BMP15,BMPR1B,0,0,0.6663
BMP15,BMPR2,0,0,0.7447
BMP2,ACVR2B,1,1,0.9795
BMP2,BMPR1A,0,0,0.5458
BMP2,BMPR2,0,0,0.4837
BMP2,HFE2,0,0,0.3206
BMP4,BMPR1A,0,0,0.6516
BMP4,HFE2,0,0,0.4858
BMP5,BMPR1A,0,0,0.1542
BMP5,BMPR1B,0,0,0.4341
BMP5,BMPR2,1,1,0.9606
BMP5,HFE2,0,0,0.3786
BMP7,ACVR1,0,0,0.2116
BMP7,BMPR1A,0,0,0.6670
BMP7,BMPR2,0,0,0.3194
BMP7,ENG,1,1,0.9838
BTC,EGFR,0,0,0.3311
BTC,ERBB4,0,0,0.7431
BTLA,CD247,1,1,0.9624
BTLA,CD79A,0,0,0.5543
C1QA,CD93,1,1,0.9392
C1QA,CR1,0,0,0.4277
C1orf112,PLSCR4,1,1,0.9999
C3,C5AR2,0,0,0.0337
C3,CD46,0,0,0.4238
C3,CD81,1,0,0.6614
C3,CR1,0,0,0.0707
C3,GRM7,0,0,0.2924
C3,ITGB2,0,0,0.0836
C3,LRP1,0,0,0.1461
C4A,C3AR1,1,1,0.9498
C4BPA,LRP1,0,0,0.1255
C4B,CR1,0,0,0.1161
C5,ADRA2A,0,0,0.4552
C5,C5AR1,1,1,0.9325
C5,C5AR2,0,0,0.1119
CALCA,CALCR,0,0,0.1767
CALCA,PTH1R,0,0,0.3101
CALCA,TSHR,0,0,0.4259
CALCB,ADCYAP1R1,0,0,0.4949
CALCB,PTH1R,0,0,0.1323
CALCB,RAMP3,0,0,0.6216
CALCB,TSHR,0,0,0.1832
CALM1,ABCA1,0,0,0.0550
CALM1,ADCYAP1R1,0,0,0.2563
CALM1,CALCR,0,0,0.5074
CALM1,CRHR1,0,0,0.1896
CALM1,GP6,0,1,0.9293
CALM1,GRM5,0,0,0.3762
CALM1,INSR,0,0,0.8990
CALM1,MYLK,0,0,0.2276
CALM1,PTH2R,0,0,0.7711
CALM1,PTPRA,0,0,0.4272
CALM1,SCN10A,0,0,0.2248
CALM1,SCTR,0,0,0.1465
CALM2,ABCA1,0,0,0.0889
CALM2,CACNA1C,0,0,0.1977
CALM2,GP6,1,1,0.9934
CALM2,GRM7,0,0,0.6034
CALM2,SCN10A,0,0,0.3431
CALM3,ABCA1,0,0,0.5031
CALM3,EGFR,0,0,0.1153
CALM3,GRM5,1,0,0.8111
CALM3,INSR,0,0,0.0593
CALM3,PDE1C,0,0,0.4148
CALM3,SCN10A,0,0,0.1074
CALR,HLA-F,0,0,0.6600
CALR,ITGA2B,1,1,0.9721
CALR,MTNR1A,0,0,0.5697
CAMP,FPR2,1,1,0.9273
CAMP,IGF1R,0,0,0.4179
CCK,CCKBR,0,0,0.6503
CCL11,CCR3,0,0,0.4330
CCL11,CCR5,0,0,0.3234
CCL13,CCR1,0,0,0.7596
CCL13,CCR2,0,0,0.2240
CCL13,CCR3,0,0,0.5277
CCL13,CCR5,0,0,0.0360
CCL14,CCR5,0,0,0.6087
CCL15,CCR3,1,1,0.9508
CCL17,ACKR1,0,1,0.9018
CCL17,ACKR1,0,1,0.9018
CCL18,C14orf1,1,1,0.9977
CCL19,ACKR2,0,0,0.1554
CCL19,ACKR4,1,1,0.9727
CCL19,ADRA2A,0,0,0.4830
CCL19,CCR10,0,0,0.4952
CCL19,CCRL2,0,0,0.2979
CCL19,CXCR3,0,0,0.2835
CCL19,GRM7,0,0,0.5249
CCL19,MTNR1A,0,0,0.4025
CCL1,CCR8,1,1,0.9745
CCL20,ADRA2A,0,0,0.6676
CCL20,GRM7,0,0,0.3229
CCL21,ACKR2,0,0,0.2860
CCL21,ADRA2A,0,1,0.9406
CCL21,MTNR1A,0,0,0.2764
CCL23,ADRA2A,0,0,0.4835
CCL23,GRM7,1,1,0.9679
CCL25,ACKR2,0,0,0.1564
CCL25,ACKR4,0,0,0.6436
CCL25,ADRA2A,0,0,0.7261
CCL25,GRM7,0,0,0.7261
CCL2,CCR2,0,0,0.5424
CCL2,CCR3,0,0,0.3913
CCL2,CCR4,0,0,0.2732
CCL2,CCR5,1,1,0.9996
CCL2,ACKR1,0,0,0.4490
CCL5,ACKR2,0,0,0.5693
CCL5,ADRA2A,0,0,0.0600
CCL5,CCR4,0,0,0.0537
CCL5,CCR5,0,0,0.3109
CCL5,CXCR3,1,1,0.9728
CCL5,GRM7,0,0,0.1828
CCL5,MTNR1A,0,0,0.4663
CCL5,SDC1,0,0,0.2166
CCL5,SDC4,0,0,0.3582
CD14,ITGB1,0,0,0.8775
CD14,ITGB2,0,0,0.1715
CD14,TLR4,0,0,0.7903
CD14,TLR6,0,0,0.1199
CD24,SELP,1,1,0.9540
CD274,PDCD1,1,0,0.7865
CD40LG,ITGAM,0,0,0.5457
CD40LG,ITGB2,0,0,0.7080
CD48,CD2,1,1,0.9710
CD55,CR1,0,1,0.9352
CD80,CTLA4,0,0,0.5127
CD86,CD28,0,0,0.1201
CD86,CTLA4,1,1,0.9927
CDH1,CDH2,0,0,0.5308
CDH1,ERBB3,0,0,0.5862
CDH1,IGF1R,0,0,0.0427
CDH1,ITGB7,0,0,0.3234
CDH1,LRP5,0,0,0.6476
CDH1,PTPRF,0,0,0.4855
CDH1,PTPRM,1,1,0.9911
CEL,CXCR4,1,1,0.9914
CFC1,ACVR2A,0,0,0.1279
CGA,LHCGR,0,0,0.1803
CGA,TSHR,0,0,0.4101
CGA,VIPR1,0,0,0.3661
CGB3,LHCGR,1,1,0.9967
CGB3,SIRPA,0,0,0.3296
CGN,TGFBR1,0,0,0.4830
CHAD,ITGA2,1,1,0.9891
CKLF,CCR4,0,0,0.7040
CLCF1,LIFR,0,0,0.5319
CNTF,IL6ST,0,0,0.0282
CNTF,LIFR,0,0,0.1715
CNTN2,CNTN1,1,1,0.9649
CNTN2,NRCAM,0,0,0.7129
CNTN4,PTPRG,1,1,0.9643
COL14A1,CD44,1,1,0.9668
COL18A1,GPC1,1,1,0.9955
COL18A1,GPC4,0,0,0.6333
COL18A1,ITGB1,0,0,0.0926
COL18A1,ITGB3,0,0,0.0618
COL18A1,ITGB5,0,0,0.3306
COL18A1,KDR,0,0,0.1434
COL1A1,CD44,0,0,0.6488
COL1A1,ITGA2,0,0,0.3304
COL1A1,ITGA5,0,0,0.7233
COL1A1,ITGAV,0,0,0.6815
COL1A1,TMPRSS6,0,0,0.3983
COL1A2,CD36,0,0,0.7117
COL1A2,CD44,0,0,0.1797
COL1A2,ITGA2B,0,0,0.5867
COL1A2,ITGB1,0,0,0.6273
COL1A2,ITGB3,0,0,0.2641
COL2A1,ITGA2,0,0,0.6438
COL2A1,ITGB1,0,0,0.3789
COL3A1,ITGB1,0,0,0.2235
COL4A1,ITGA1,0,0,0.4041
COL4A1,ITGB8,1,1,0.9627
COL4A2,CD93,0,0,0.0816
COL4A2,ITGB5,1,1,0.9843
COL5A1,ITGA1,0,0,0.5209
COL5A1,SDC3,1,1,0.9877
COL6A1,ITGA2,0,0,0.6099
COL6A1,ITGA6,1,1,0.9508
COL6A1,ITGB1,0,0,0.1744
COLQ,MUSK,1,1,0.9912
CORT,MTNR1A,0,0,0.6795
CPAMD8,SCTR,1,1,0.9903
CRH,ADRB2,0,0,0.6429
CRH,ADRB3,0,0,0.1484
CRH,GPR20,0,0,0.4084
CRH,GPR84,0,0,0.7579
CRH,PTH1R,0,0,0.1383
CRH,RAMP3,0,0,0.4945
CSF2,CSF1R,0,0,0.6708
CSF2,CSF2RB,0,0,0.4292
CSF2,CSF3R,0,0,0.6124
CSF2,ITGB1,0,0,0.0771
CSF2,SDC2,0,0,0.0131
CSF3,CSF1R,0,0,0.7240
CSH1,PRLR,1,1,0.9543
CSHL1,GHR,1,1,0.9685
CSHL1,PRLR,0,0,0.3783
CTF1,IL6ST,1,1,0.9885
CTF1,LIFR,0,0,0.6898
CTGF,ITGA5,0,0,0.2353
CTGF,LRP1,0,0,0.2097
CXCL10,ADRA2A,0,0,0.5559
CXCL10,CCR3,0,0,0.8629
CXCL10,GRM7,0,0,0.7347
CXCL10,MTNR1A,0,0,0.5964
CXCL10,SDC4,1,1,0.9808
CXCL11,ACKR1,0,0,0.3774
CXCL11,ACKR3,1,1,0.9719
CXCL11,ADRA2A,0,0,0.4775
CXCL11,CCR3,0,0,0.3775
CXCL11,CXCR3,0,0,0.4392
CXCL11,GRM7,0,0,0.6656
CXCL12,ACKR3,0,0,0.6146
CXCL12,ADRA2A,0,0,0.6224
CXCL12,CCR4,0,0,0.5380
CXCL12,CD4,1,1,0.9245
CXCL12,CXCR3,0,0,0.4240
CXCL12,CXCR4,0,0,0.4749
CXCL12,GRM7,0,0,0.3178
CXCL12,ITGB1,0,0,0.4614
CXCL12,MTNR1A,0,0,0.5471
CXCL13,ACKR4,0,0,0.3998
CXCL13,ADRA2A,0,0,0.7830
CXCL13,CCR10,0,0,0.3628
CXCL13,CXCR3,0,0,0.4219
CXCL13,GRM7,0,0,0.2188
CXCL13,OPRD1,0,0,0.5162
CXCL16,CXCR6,1,1,0.9981
CXCL1,ACKR1,0,0,0.7479
CXCL1,CXCR2,0,0,0.3635
CXCL1,ACKR1,0,0,0.7479
CXCL1,GRM7,0,0,0.3488
CXCL1,MTNR1A,0,0,0.8983
CXCL2,CXCR1,0,0,0.6632
CXCL2,CXCR2,1,1,0.9828
CXCL2,GRM7,0,0,0.8233
CXCL2,MTNR1A,0,0,0.2738
CXCL2,XCR1,0,0,0.7516
DCN,EGFR,0,0,0.5022
DCN,ERBB4,0,0,0.5936
DKK1,KREMEN1,1,1,0.9643
DKK1,LRP5,0,0,0.3016
DLL1,NOTCH1,0,0,0.2329
DLL1,NOTCH4,0,0,0.1728
DLL4,NOTCH4,1,1,0.9825
DSCAM,DCC,1,0,0.8617
DUSP18,CD151,1,1,0.9962
DUSP18,ITGA1,0,0,0.5611
DUSP18,ITGA6,0,0,0.3786
DUSP18,ITGB1,0,0,0.1029
DUSP18,ITGB4,0,0,0.1455
DUSP18,RPSA,0,0,0.1758
EBI3,IL6ST,0,0,0.2830
EDN1,KEL,0,0,0.4360
EDN2,KEL,0,0,0.8212
EFNA1,EPHA1,0,0,0.2711
EFNA1,EPHA3,0,0,0.4687
EFNA1,EPHA4,0,0,0.1701
EFNA1,EPHA7,0,0,0.8250
EFNA1,EPHB6,0,0,0.5978
EFNA2,EPHA1,1,1,0.9979
EFNA2,EPHA10,0,0,0.5212
EFNA2,EPHA3,0,0,0.4282
EFNA2,EPHA6,0,0,0.3091
EFNA2,EPHA7,0,0,0.1219
EFNA3,EPHA10,0,0,0.3167
EFNA3,EPHA2,0,0,0.3330
EFNA3,EPHA4,0,0,0.1314
EFNA3,EPHA7,0,0,0.2755
EFNA3,EPHA8,0,0,0.1559
EFNA3,EPHB6,1,1,0.9630
EFNA4,EPHA1,0,0,0.4691
EFNA4,EPHA10,1,1,0.9835
EFNA4,EPHA3,0,0,0.4244
EFNA4,EPHA4,0,0,0.5742
EFNA4,EPHA6,0,0,0.3880
EFNA4,EPHA8,0,0,0.7630
EFNA5,EPHA10,0,0,0.3982
EFNA5,EPHA2,1,1,0.9596
EFNA5,EPHA4,0,0,0.4804
EFNA5,EPHB2,0,0,0.7018
EFNA5,EPHB6,0,0,0.5599
EFNB1,EPHA6,1,1,0.9929
EFNB1,EPHB6,0,0,0.6845
EFNB1,ERBB2,0,0,0.2284
EFNB2,EPHA6,0,0,0.6072
EFNB2,EPHB2,0,0,0.2255
EFNB3,EPHB2,0,0,0.2940
EGFL8,NCR3,1,1,0.9857
EGF,CAV1,0,0,0.0114
EGF,ERBB2,0,0,0.0042
EGF,ERBB3,1,1,0.9847
EGF,LDLR,0,0,0.7221
EGF,LRP2,0,0,0.5928
EPO,EPOR,1,1,0.9777
F10,ITGAM,0,0,0.1480
F2,F2R,1,1,0.9643
F2,F2RL1,0,0,0.1974
F2,GP9,0,0,0.3384
F2,ITGA2B,0,0,0.5483
F2,THBD,0,0,0.1991
F8,ASGR2,1,1,0.9924
F8,LRP1,0,0,0.7938
FABP5,RXRA,1,1,0.9679
FARP2,PLXNA1,1,1,0.9501
FARP2,PLXNA3,0,0,0.4555
FASLG,FAS,1,1,0.9608
FASLG,TNFRSF6B,0,0,0.3892
FAT4,DCHS1,1,1,0.9865
FBN1,ITGAV,0,0,0.3619
FBN1,ITGB3,0,0,0.7251
FBN1,ITGB6,1,1,0.9566
FGA,ITGA2B,0,0,0.6461
FGA,ITGA5,0,0,0.4475
FGA,ITGAM,0,0,0.1507
FGA,ITGB2,0,0,0.0262
FGA,ITGB3,0,0,0.6123
FGF10,FGFR2,1,1,0.9946
FGF11,FGFR1,0,0,0.1108
