,ligand,receptor
1,SYT6,OPRD1
2,RXFP2,OPRD1
3,PLXNB1,PCF11
4,IL18BP,PCF11
5,CD180,PCF11
6,YIPF7,PCF11
7,ANOS1,PCF11
8,LAMA1,PCF11
9,DFFA,SDK1
10,SSB,NUDT16
11,COL4A1,UBOX5
12,CD180,ZNF23
13,CNFN,NRP2
14,TAC4,TMEM271
15,FOXD4L1,TMEM271
16,RNF19A,TMEM271
17,TMEM209,TMEM271
18,SLC5A11,TMEM271
19,PGLYRP3,EFNB1
20,TMEM271,TAC4
21,NRP2,CNFN
22,CDRT15,CNFN
23,ADAMDEC1,PDCD2
24,TOP1MT,SHISAL2B
25,TNFRSF12A,ARIH1
26,HEXIM2,RFPL3
27,FMNL3,TNFRSF11B
28,FAT4,TNFRSF6B
29,TMEM271,FOXD4L1
30,PTDSS1,SPRN
31,TAS2R19,SRI
32,TMPRSS13,P2RX1
33,TMEM209,PLA2G12B
34,RAVER2,PLA2G12B
35,PTDSS2,FBP1
36,CDON,CCL16
37,TMEM271,RNF19A
38,OPRD1,SYT6
39,PCF11,PLXNB1
40,TMEM271,TMEM209
41,PLA2G12B,TMEM209
42,PCF11,IL18BP
43,EFNB1,PGLYRP3
44,RFPL3,HEXIM2
45,IGF2BP2,HEXIM2
46,FBXO25,HEXIM2
47,SPRN,PTDSS1
48,TMEM271,SLC5A11
49,ZNF623,SLC37A2
50,PCF11,CD180
51,ZNF23,CD180
52,DNAJB5,TNFSF9
53,TNFRSF11B,FMNL3
54,SRI,TAS2R19
55,USP40,OMG
56,C1QTNF9,SYNDIG1L
57,SERPING1,SHP1
58,PTPRC,SHP1
59,INMT,OR1N2
60,SHISAL2B,TOP1MT
61,CCL16,CDON
62,SLC37A2,ZNF623
63,TNFRSF6B,FAT4
64,LRP8,FAT4
65,ARIH1,TNFRSF12A
66,SYNDIG1L,C1QTNF9
67,PLA2G12B,RAVER2
68,NUDT16,SSB
69,OPRD1,RXFP2
70,SDK1,DFFA
71,DERL3,GLI2
72,HEXIM2,IGF2BP2
73,PCF11,YIPF7
74,UBOX5,COL4A1
75,CNFN,CDRT15
76,FAT4,LRP8
77,OR1N2,INMT
78,PLD2,TFR2
79,DNAJB5,TFR2
80,CSN2,CDCA2
81,SHP1,SERPING1
82,TFR2,PLD2
83,TNFSF9,DNAJB5
84,TFR2,DNAJB5
85,OMG,USP40
86,GLI2,DERL3
87,HEXIM2,FBXO25
88,P2RX1,TMPRSS13
89,FBP1,PTDSS2
90,PLXNA4,PTDSS2
91,PCF11,ANOS1
92,CDCA2,CSN2
93,PTDSS2,PLXNA4
94,SHP1,PTPRC
95,PDCD2,ADAMDEC1
96,PCF11,LAMA1
