,key,pos,neg
1,AANAT,MTNR1A,IL20
2,AANAT,MTNR1A,NTF4
3,AANAT,MTNR1A,NPPA
4,AANAT,MTNR1A,APOC3
5,AANAT,MTNR1A,C5
6,AANAT,MTNR1A,GSTP1
7,AANAT,MTNR1A,FN1
8,AANAT,MTNR1A,LGALS1
9,AANAT,MTNR1A,COL1A1
10,AANAT,MTNR1A,VEGFC
11,AANAT,MTNR1A,SEMA4B
12,AANAT,MTNR1A,AGRP
13,AANAT,MTNR1A,LY6G5C
14,AANAT,MTNR1A,PTGS2
15,AANAT,MTNR1A,AREG
16,AANAT,MTNR1A,LAMA2
17,AANAT,MTNR1A,IL1F10
18,AANAT,MTNR1A,SLIT2
19,AANAT,MTNR1A,DLL4
20,AANAT,MTNR1A,BMP4
21,AANAT,MTNR1A,PTDSS1
22,AANAT,MTNR1A,PROK1
23,AANAT,MTNR1A,SEMA4A
24,AANAT,MTNR1A,NCAM1
25,AANAT,MTNR1A,IGFL1
26,AANAT,MTNR1A,CSF1
27,AANAT,MTNR1A,SCT
28,AANAT,MTNR1A,LILRB4
29,AANAT,MTNR1A,L1CAM
30,AANAT,MTNR1A,PROS1
31,AANAT,MTNR1A,DUSP18
32,AANAT,MTNR1A,IL31
33,AANAT,MTNR1A,SHP1
34,AANAT,MTNR1A,CCL17
35,AANAT,MTNR1A,NID2
36,AANAT,MTNR1A,GCG
37,AANAT,MTNR1A,NPFF
38,AANAT,MTNR1A,NMU
39,AANAT,MTNR1A,IFNA14
40,AANAT,MTNR1A,CXCL2
41,AANAT,MTNR1A,APOC1
42,AANAT,MTNR1A,PIK3CD-AS1
43,AANAT,MTNR1A,C3
44,AANAT,MTNR1A,FGF1
45,AANAT,MTNR1A,CCL25
46,AANAT,MTNR1A,CD22
47,AANAT,MTNR1A,F11
48,AANAT,MTNR1A,NTF3
49,AANAT,MTNR1A,SPINK1
50,AANAT,MTNR1A,CCL19
51,AANAT,MTNR1A,MST1
52,AANAT,MTNR1A,PDGFC
53,AANAT,MTNR1A,PLAU
54,AANAT,MTNR1A,HLA-F
55,AANAT,MTNR1A,GNAS
56,AANAT,MTNR1A,SERPINA7
57,AANAT,MTNR1A,HBEGF
58,AANAT,MTNR1A,TAC4
59,AANAT,MTNR1A,NLGN3
60,AANAT,MTNR1A,TNFSF10
61,AANAT,MTNR1A,RARRES2
62,AANAT,MTNR1A,CTGF
63,AANAT,MTNR1A,ANGPT2
64,AANAT,MTNR1A,SHANK1
65,AANAT,MTNR1A,CSF3
66,AANAT,MTNR1A,EFNA3
67,AANAT,MTNR1A,FARP2
68,AANAT,MTNR1A,CCL14
69,AANAT,MTNR1A,FGF4
70,AANAT,MTNR1A,GDF1
71,AANAT,MTNR1A,LAMB2
72,AANAT,MTNR1A,REN
73,AANAT,MTNR1A,LTA
74,AANAT,MTNR1A,INHBB
75,AANAT,MTNR1A,NTNG1
76,AANAT,MTNR1A,GDF9
77,AANAT,MTNR1A,CD55
78,AANAT,MTNR1A,NPS
79,AANAT,MTNR1A,GDF5
80,AANAT,MTNR1A,PSEN1
81,AANAT,MTNR1A,HEBP1
82,AANAT,MTNR1A,INHBA
83,AANAT,MTNR1A,ANGPT1
84,AANAT,MTNR1A,SPINT1
85,AANAT,MTNR1A,NRTN
86,AANAT,MTNR1A,CLEC2B
87,AANAT,MTNR1A,DHH
88,AANAT,MTNR1A,CLEC2A
89,AANAT,MTNR1A,AGRN
90,AANAT,MTNR1A,OXT
91,AANAT,MTNR1A,LTF
