,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
LRP1,0.18025021,0.5591066,0.0,0.62806296,0.0,0.22117737,0.0,0.0,0.0,0.0,0.0,0.25977272,0.0,0.11623893,0.0,1.2057163,0.40345803,0.27292186,0.0,0.40159675
MTNR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.14147907,2.9639316,0.0,0.15090357,1.357138,0.0,1.9064646,0.0,0.0,0.11855123,0.0,0.29008874,0.60848504,1.5026237
AGTR2,0.0,0.0,0.013249134,0.0,0.31624913,0.0,0.0,0.24533497,0.0,0.51164114,0.0,0.09706938,0.0,0.8417597,0.36916927,0.5355224,0.2512712,0.0,0.008327022,0.5318938
ADRB2,0.0,0.0,0.0,0.047495883,0.0,0.0,2.173947,0.0,0.101623535,0.0,0.0,0.0,3.180652,0.0,0.0,0.0,0.0,1.3459382,0.0,0.0
LDLR,0.51713836,0.0,0.109666735,0.0,0.0,0.17391087,0.0,0.25358623,0.0,0.03938189,0.0,0.0,0.0,0.12625785,0.32236657,0.7200879,0.14385253,0.0,0.0,0.0
LRP2,0.33236,0.0,0.0,0.0,0.0,0.51261306,0.0,0.4682566,0.0,0.080898784,0.0,0.0,0.0,0.56562394,0.0,0.723973,0.46447378,0.0,0.0958814,0.0
AXL,0.0052833227,0.0,0.0,0.0,0.0,0.0,0.0,0.26478127,0.39748493,0.0,0.31483293,0.0,1.3361753,0.0,0.0,0.0,0.017710038,0.36317214,0.30518296,0.0
EPHA3,0.0,2.2460644,2.2783556,0.03155938,0.82391876,0.0,0.33336306,0.0,3.0821393,1.348753,3.197538,0.0,0.0,0.6254038,1.0577471,0.0,0.0,0.0,0.5022491,0.51613265
ITGA9,0.15447518,0.025322631,0.35360494,0.0,0.000372707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725504,0.4572864,0.55529696,0.0,0.0,0.0,0.03820041
ITGB1,0.41063538,0.0,0.0,0.49843088,0.0,0.0,0.0,0.0,0.0,0.0,1.3341922,0.0,0.97858906,0.0,0.0,0.0,0.0,2.342979,0.0,0.0
SDC4,0.007997421,0.0,0.0,0.0,0.0,0.0,0.0,0.5567248,0.0,0.0,0.0,0.0,0.7269541,0.0,0.0,0.0,0.0,0.10956687,0.1111354,0.6291008
ITGA5,0.0,0.0,0.0,0.0,0.57739633,0.0,0.0,0.0,0.0,0.0,0.9514248,0.0,0.23949936,0.0,0.012399004,0.8530485,0.0,0.0,1.045091,0.0
ITGA9,0.15447518,0.025322631,0.35360494,0.0,0.000372707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725504,0.4572864,0.55529696,0.0,0.0,0.0,0.03820041
ITGAV,0.119384654,0.0,0.0,1.724067,0.0,0.47636506,0.0,0.0,0.7504991,0.0,0.0,0.0,1.781737,0.0,0.0,0.0,2.1052997,0.664195,0.0,0.0
ITGB1,0.41063538,0.0,0.0,0.49843088,0.0,0.0,0.0,0.0,0.0,0.0,1.3341922,0.0,0.97858906,0.0,0.0,0.0,0.0,2.342979,0.0,0.0
ITGB3,0.2559513,0.0,0.32705802,0.0,0.09201931,0.0,0.0,0.23562539,0.45909578,0.0,0.0,0.0,0.0,0.97491175,0.0,0.43665838,0.33493546,0.0,0.0,0.3661567
ERBB4,0.0,0.0,0.0,2.6167727,0.060413685,0.0,0.6307965,0.0,1.58781,0.0,1.5806711,0.0,2.255641,0.0,0.0,0.0,1.8775328,1.9629624,0.0,0.2595969
ITGA5,0.0,0.0,0.0,0.0,0.57739633,0.0,0.0,0.0,0.0,0.0,0.9514248,0.0,0.23949936,0.0,0.012399004,0.8530485,0.0,0.0,1.045091,0.0
ITGB1,0.41063538,0.0,0.0,0.49843088,0.0,0.0,0.0,0.0,0.0,0.0,1.3341922,0.0,0.97858906,0.0,0.0,0.0,0.0,2.342979,0.0,0.0
