ligand,receptor,truelabel,pred
A2M,LRP1,1,0.9315
AANAT,MTNR1A,1,0.9983
ACE,AGTR2,0,0.8599
ACTR2,ADRB2,1,0.9990
ACTR2,LDLR,0,0.0000
ACTR2,LRP2,0,0.0000
ADAM10,AXL,1,0.9748
ADAM10,EPHA3,0,0.2111
ADAM12,ITGA9,0,0.8706
ADAM12,ITGB1,0,0.0000
ADAM12,SDC4,0,0.0794
ADAM15,ITGA5,1,0.9973
ADAM15,ITGA9,0,0.2363
ADAM15,ITGAV,0,0.0826
ADAM15,ITGB1,0,0.2948
ADAM15,ITGB3,0,0.1679
ADAM17,ERBB4,1,0.9964
ADAM17,ITGA5,0,0.2514
ADAM17,ITGB1,0,0.7456
ADAM17,NOTCH1,0,0.3572
ADAM23,ITGA5,0,0.2784
ADAM23,ITGB3,1,0.9474
ADAM28,ITGA4,1,0.9982
ADAM2,CD9,1,0.9796
ADAM2,ITGA6,0,0.0510
ADAM2,ITGA9,0,0.0992
ADAM2,ITGB1,0,0.3444
ADAM2,ITGB7,0,0.0479
ADAM9,ITGA3,1,0.9995
ADAM9,ITGA6,0,0.5765
ADAM9,ITGAV,0,0.1168
ADAM9,ITGB1,0,0.2587
ADAM9,ITGB5,0,0.0303
ADCYAP1,ADCYAP1R1,0,0.0000
ADCYAP1,ADRB2,0,0.0000
ADCYAP1,ADRB3,0,0.0983
ADCYAP1,GPR20,0,0.0850
ADCYAP1,GPR84,0,0.1673
ADCYAP1,PTH1R,0,0.0182
ADCYAP1,RAMP2,0,0.1206
ADCYAP1,RAMP3,0,0.0309
ADCYAP1,SCTR,0,0.5270
ADCYAP1,TSHR,1,0.9956
ADCYAP1,VIPR1,0,0.0856
ADCYAP1,VIPR2,0,0.3378
ADIPOQ,ADIPOR1,1,0.9719
ADM2,ADCYAP1R1,0,0.3660
ADM2,ADRB2,0,0.3203
ADM2,ADRB3,0,0.5026
ADM2,CALCR,0,0.0017
ADM2,GPR20,0,0.0000
ADM2,GPR84,0,0.0038
ADM2,PTH1R,0,0.0000
ADM2,RAMP2,1,0.9985
ADM2,RAMP3,0,0.2185
ADM2,TSHR,0,0.1180
ADM2,VIPR1,0,0.0017
ADM,ADCYAP1R1,0,0.0000
ADM,ADRB2,0,0.0024
ADM,ADRB3,0,0.2572
ADM,CALCR,0,0.1077
ADM,GPR182,0,0.5984
ADM,GPR20,0,0.7759
ADM,GPR84,0,0.5037
ADM,PTH1R,1,0.9977
ADM,RAMP2,0,0.0023
ADM,RAMP3,0,0.0521
ADM,TSHR,0,0.0385
ADM,VIPR1,0,0.7994
AGRN,ATP1A3,1,0.9416
AGRN,ITGB1,0,0.5443
AGRN,LRP1,0,0.3542
AGRN,LRP2,0,0.2345
AGRN,MUSK,0,0.0081
AGRP,MC3R,1,0.9988
AGRP,SDC3,0,0.2954
AGT,ADRA2A,1,0.9979
AGT,AGTR1,0,0.0644
AGT,AGTR2,0,0.4619
AGT,GRM7,0,0.2835
AGT,LRP2,0,0.3998
AGT,MTNR1A,0,0.2261
AHSG,INSR,0,0.8037
ALB,LRP2,1,0.9560
ALOX5AP,ALOX5,1,0.9997
AMELX,LAMP1,1,0.9035
AMH,ACVR1,1,0.9683
AMH,EGFR,0,0.6865
ANGPT1,ITGA5,0,0.2895
ANGPT1,ITGB1,1,0.9964
ANGPT1,TEK,0,0.0785
ANGPT1,TIE1,0,0.1748
ANGPT2,TEK,1,0.9991
ANGPT2,TIE1,0,0.7197
ANGPT4,TEK,0,0.7798
ANGPT4,TIE1,1,0.9765
ANGPTL3,ITGA5,0,0.0611
ANGPTL3,ITGAV,1,0.9960
ANGPTL3,ITGB3,0,0.2267
ANGPTL4,TIE1,0,0.1432
ANOS1,FGFR1,1,0.9963
ANOS1,SDC2,0,0.4411
ANXA1,ADRA2A,0,0.4116
ANXA1,DYSF,1,0.9837
ANXA1,EGFR,0,0.0872
ANXA1,FPR1,0,0.4988
ANXA1,FPR2,0,0.1872
ANXA1,FPR3,0,0.5633
ANXA1,GRM7,0,0.4941
ANXA1,MTNR1A,0,0.0235
APLN,ADRA2A,0,0.3456
APLN,APLNR,1,0.9993
APLN,GRM7,0,0.3493
APLN,MTNR1A,0,0.0273
APOA1,LDLR,1,0.9575
APOA1,LRP1,0,0.6667
APOA1,LRP2,0,0.8536
APOB,ADRB2,0,0.1742
APOB,CALCR,0,0.5150
APOB,ITGAM,0,0.0984
APOB,ITGB2,0,0.5650
APOB,LDLR,0,0.3365
APOB,LRP1,0,0.1690
APOB,LRP2,0,0.6284
APOB,LRP6,0,0.6144
APOB,LRP8,0,0.4631
APOB,OLR1,0,0.2426
APOB,TLR4,0,0.3410
APOB,TLR6,1,0.9909
APOB,VLDLR,0,0.4147
APOC1,VLDLR,1,0.9985
APOC3,LDLR,0,0.0587
APOC3,LRP1,0,0.0841
APOC3,LRP2,0,0.2470
APOC3,SDC2,1,0.9981
APOC3,TLR2,0,0.2878
APOD,LEPR,1,0.9678
APOE,CHRNA4,1,0.9549
APOE,LDLR,0,0.1715
APOE,LRP1,0,0.2373
APOE,LRP2,0,0.0815
APOE,LRP5,0,0.1867
APOE,LRP8,0,0.2822
APOE,SCARB1,0,0.1846
APOE,VLDLR,0,0.5720
APP,ADRA2A,0,0.5519
APP,CAV1,0,0.3121
APP,FPR2,0,0.2029
APP,GPC1,0,0.2547
APP,GRM7,0,0.2064
APP,LRP1,0,0.3357
APP,MTNR1A,0,0.4215
APP,NCSTN,0,0.1231
APP,NGFR,0,0.1179
APP,TNFRSF21,1,0.9606
AREG,EGFR,1,0.9949
AREG,ERBB3,0,0.5223
ARF1,CHRM3,1,0.9365
ARF1,INSR,0,0.3487
ARF1,PLD2,0,0.4287
ARTN,GFRA1,1,0.9957
ARTN,GFRA2,0,0.0161
ARTN,GFRA3,0,0.2404
ARTN,RET,0,0.1435
ASIP,ATRN,1,0.9205
ASIP,F11R,0,0.0000
ASIP,MC1R,0,0.4751
ASIP,MC3R,0,0.2050
AVP,ADCYAP1R1,0,0.4128
AVP,ADRB2,0,0.1243
AVP,ADRB3,0,0.1625
AVP,AVPR1A,0,0.3744
AVP,AVPR2,0,0.3849
AVP,GPR20,0,0.2242
AVP,GPR84,0,0.3731
AVP,LDLR,0,0.0704
AVP,LRP2,0,0.0871
AVP,PTH1R,0,0.0237
AVP,RAMP2,0,0.2354
AVP,RAMP3,1,0.9817
AVP,TSHR,0,0.0189
AVP,VIPR1,0,0.0692
B2M,CD1B,0,0.1484
B2M,CD247,0,0.1050
B2M,CD3D,0,0.4230
B2M,HLA-F,0,0.1607
B2M,KIR3DL1,1,0.9943
B2M,KLRC1,0,0.0000
B2M,KLRC2,0,0.2318
B2M,LILRB2,0,0.0929
B2M,TFRC,0,0.1154
BCAN,EGFR,0,0.0607
BCAN,NRCAM,1,0.9828
BDNF,DDR1,1,0.9954
BDNF,NGFR,0,0.1657
BDNF,NGFRAP1,0,0.2004
BDNF,SORT1,0,0.2345
BGN,LY96,1,0.9761
BGN,TLR1,0,0.3359
BGN,TLR2,0,0.2140
BGN,TLR4,0,0.0010
BMP10,ACVR2A,1,0.9984
BMP10,ACVRL1,0,0.1227
BMP10,BMPR1A,0,0.5912
BMP10,BMPR1B,0,0.0266
BMP10,BMPR2,0,0.4603
BMP10,ENG,0,0.0753
BMP15,BMPR1A,1,0.9974
BMP15,BMPR1B,0,0.2160
BMP15,BMPR2,0,0.2710
BMP2,ACVR1,0,0.4141
BMP2,ACVR2B,1,0.9854
BMP2,BMPR1A,0,0.0146
BMP2,BMPR1B,0,0.0323
BMP2,BMPR2,0,0.4185
BMP2,ENG,0,0.0135
BMP2,HFE2,0,0.1454
BMP4,BMPR1A,0,0.2059
BMP4,BMPR1B,1,0.9976
BMP4,BMPR2,0,0.0828
BMP4,HFE2,0,0.1164
BMP5,BMPR1A,0,0.2729
BMP5,BMPR1B,0,0.1638
BMP5,BMPR2,0,0.8995
BMP5,HFE2,0,0.3072
BMP7,ACVR1,0,0.1610
BMP7,ACVR2A,0,0.0715
BMP7,ACVR2B,0,0.0682
BMP7,BMPR1A,0,0.1062
BMP7,BMPR1B,0,0.1319
BMP7,BMPR2,0,0.2542
BMP7,ENG,1,0.9755
BST1,CAV1,1,0.9979
BTC,EGFR,0,0.0000
BTC,ERBB2,1,0.9990
BTC,ERBB3,0,0.0488
BTC,ERBB4,0,0.8954
BTLA,CD247,1,0.9738
BTLA,CD79A,0,0.5924
BTLA,TNFRSF14,0,0.5251
C1QA,CD93,1,0.9163
C1QA,CR1,0,0.2954
C1QTNF1,AVPR2,1,0.9981
C1QTNF5,MFRP,1,0.9985
C1orf112,PLSCR4,0,0.7845
C3,ADRA2A,0,0.3839
C3,C3AR1,0,0.0328
C3,C5AR2,0,0.4619
C3,CD46,0,0.2278
C3,CD81,0,0.4299
C3,CR1,0,0.4844
C3,GRM7,0,0.8833
C3,ITGAM,1,0.9996
C3,ITGB2,0,0.4934
C3,LRP1,0,0.7109
C3,MTNR1A,0,0.0262
C4A,C3AR1,1,0.9862
C4A,C5AR2,0,0.1011
C4A,CR1,0,0.0352
C4BPA,BMPR2,0,0.4339
C4BPA,CD40,1,0.9984
C4BPA,LRP1,0,0.4404
C4B,CD46,1,0.9989
C4B,CR1,0,0.0428
C5,ADRA2A,0,0.2305
C5,C5AR1,1,0.9897
C5,C5AR2,0,0.2076
C5,GRM7,0,0.3387
C5,MTNR1A,0,0.1841
CALCA,ADCYAP1R1,1,0.9981
CALCA,ADRB2,0,0.3180
CALCA,ADRB3,0,0.0396
CALCA,CALCR,0,0.0529
CALCA,GPR20,0,0.0845
CALCA,GPR84,0,0.2606
CALCA,PTH1R,0,0.0000
CALCA,RAMP2,0,0.3747
CALCA,RAMP3,0,0.5013
CALCA,TSHR,0,0.0000
CALCA,VIPR1,0,0.0559
CALCB,ADCYAP1R1,0,0.0482
CALCB,ADRB2,0,0.0354
CALCB,ADRB3,1,0.9949
CALCB,CALCR,0,0.2010
CALCB,GPR20,0,0.0014
CALCB,GPR84,0,0.1800
CALCB,PTH1R,0,0.2326
CALCB,RAMP2,0,0.5642
CALCB,RAMP3,0,0.1241
CALCB,TSHR,0,0.0778
CALCB,VIPR1,0,0.0009
CALM1,ABCA1,0,0.0592
CALM1,ADCYAP1R1,0,0.0002
CALM1,CACNA1C,1,0.9986
CALM1,CALCR,0,0.0127
CALM1,CRHR1,0,0.0171
CALM1,EGFR,0,0.0061
CALM1,FAS,0,0.1507
CALM1,GP6,0,0.0158
CALM1,GRM3,0,0.1399
CALM1,GRM4,0,0.2692
CALM1,GRM5,0,0.0981
CALM1,GRM7,0,0.0704
CALM1,HMMR,0,0.0003
CALM1,INSR,0,0.2234
CALM1,MYLK,0,0.3588
CALM1,PDE1C,0,0.0059
CALM1,PTH2R,0,0.3436
CALM1,PTPRA,0,0.3375
CALM1,SCN10A,0,0.1747
CALM1,SCTR,0,0.7087
CALM1,SELL,0,0.0122
CALM1,VIPR1,0,0.2007
CALM2,ABCA1,0,0.7783
CALM2,CACNA1C,0,0.0023
CALM2,EGFR,0,0.8489
CALM2,GP6,1,0.9911
CALM2,GRM5,0,0.2792
CALM2,GRM7,0,0.4257
CALM2,INSR,0,0.5899
CALM2,MYLK,0,0.6225
CALM2,PDE1C,0,0.5788
CALM2,SCN10A,0,0.2765
CALM2,SELL,0,0.8054
CALM3,ABCA1,0,0.0522
CALM3,EGFR,0,0.0229
CALM3,GP6,0,0.2384
CALM3,GRM5,1,0.9908
CALM3,GRM7,0,0.6363
CALM3,INSR,0,0.1166
CALM3,MYLK,0,0.1895
CALM3,PDE1C,0,0.1443
CALM3,SCN10A,0,0.1786
CALM3,SELL,0,0.0458
CALR,HLA-F,0,0.0927
CALR,ITGA2B,0,0.8596
CALR,ITGA3,0,0.0002
CALR,ITGAV,0,0.2929
CALR,LRP1,0,0.5309
CALR,MTNR1A,0,0.4806
CALR,TSHR,0,0.0953
CAMP,EGFR,0,0.6769
CAMP,FPR2,1,0.9744
CAMP,IGF1R,0,0.5504
CCK,CCKAR,1,0.9933
CCK,CCKBR,0,0.2396
CCL11,ACKR1,1,0.9987
CCL11,ACKR2,0,0.2037
CCL11,ACKR4,0,0.2015
CCL11,CCR2,0,0.6361
CCL11,CCR3,0,0.1441
CCL11,CCR5,0,0.8505
CCL11,CXCR3,0,0.6586
CCL13,ACKR1,0,0.2114
CCL13,ACKR2,1,0.9955
CCL13,ACKR4,0,0.1261
CCL13,CCR1,0,0.0427
CCL13,CCR2,0,0.3769
CCL13,CCR3,0,0.2800
CCL13,CCR5,0,0.3650
CCL13,CXCR3,0,0.3459
CCL14,ACKR1,0,0.2058
CCL14,ACKR2,0,0.0743
CCL14,CCR1,1,0.9983
CCL14,CCR3,0,0.0410
CCL14,CCR5,0,0.0859
CCL15,CCR1,0,0.0000
CCL15,CCR3,1,0.9648
