ligand,receptor,truelabel,pred
A2M,LRP1,1,1,0.9644
AANAT,MTNR1A,1,0,0.0011
ACE,AGTR2,1,1,0.9249
ACTR2,ADRB2,1,0,0.0000
ACTR2,LDLR,0,0,0.4953
ACTR2,LRP2,0,0,0.2851
ADAM10,AXL,1,1,0.9931
ADAM10,EPHA3,0,0,0.3944
ADAM12,ITGA9,1,1,0.9343
ADAM12,ITGB1,0,0,0.4493
ADAM12,SDC4,0,0,0.2718
ADAM15,ITGA5,1,1,0.9864
ADAM15,ITGA9,0,0,0.5067
ADAM15,ITGAV,0,0,0.3798
ADAM15,ITGB1,0,0,0.4824
ADAM15,ITGB3,0,0,0.6798
ADAM17,ERBB4,1,0,0.0288
ADAM17,ITGA5,0,0,0.6660
ADAM17,ITGB1,0,0,0.2507
ADAM17,NOTCH1,0,0,0.7022
ADAM23,ITGA5,0,0,0.6194
ADAM23,ITGB3,1,1,0.9843
ADAM28,ITGA4,1,0,0.0083
ADAM2,CD9,1,1,0.9415
ADAM2,ITGA6,0,0,0.8229
ADAM2,ITGA9,0,0,0.5644
ADAM2,ITGB1,0,0,0.6909
ADAM2,ITGB7,0,0,0.7117
ADAM9,ITGA3,1,0,0.0125
ADAM9,ITGA6,0,0,0.5078
ADAM9,ITGAV,0,0,0.5888
ADAM9,ITGB1,0,0,0.6054
ADAM9,ITGB5,0,0,0.6006
ADCYAP1,ADCYAP1R1,0,0,0.5033
ADCYAP1,ADRB2,0,0,0.4742
ADCYAP1,ADRB3,0,0,0.4411
ADCYAP1,GPR20,0,0,0.6326
ADCYAP1,GPR84,0,0,0.5690
ADCYAP1,PTH1R,0,0,0.4423
ADCYAP1,RAMP2,0,0,0.7191
ADCYAP1,RAMP3,0,0,0.3882
ADCYAP1,SCTR,0,0,0.5271
ADCYAP1,TSHR,1,0,0.0060
ADCYAP1,VIPR1,0,0,0.4481
ADCYAP1,VIPR2,0,0,0.5158
ADIPOQ,ADIPOR1,1,1,0.9025
ADM2,ADCYAP1R1,0,0,0.6031
ADM2,ADRB2,0,0,0.2408
ADM2,ADRB3,0,0,0.4534
ADM2,CALCR,0,0,0.5991
ADM2,GPR20,0,0,0.7500
ADM2,GPR84,0,0,0.6730
ADM2,PTH1R,0,0,0.5915
ADM2,RAMP2,1,0,0.0000
ADM2,RAMP3,0,0,0.3289
ADM2,TSHR,0,0,0.5272
ADM2,VIPR1,0,0,0.2517
ADM,ADCYAP1R1,0,0,0.3142
ADM,ADRB2,0,0,0.8206
ADM,ADRB3,0,0,0.8627
ADM,CALCR,0,0,0.1227
ADM,GPR182,0,0,0.1675
ADM,GPR20,0,0,0.4737
ADM,GPR84,0,0,0.1650
ADM,PTH1R,1,0,0.0000
ADM,RAMP2,0,0,0.6140
ADM,RAMP3,0,0,0.4275
ADM,TSHR,0,0,0.4483
ADM,VIPR1,0,0,0.0784
AGRN,ATP1A3,1,1,0.9890
AGRN,ITGB1,0,0,0.4195
AGRN,LRP1,0,0,0.3990
AGRN,LRP2,0,0,0.4872
AGRN,MUSK,0,0,0.2637
AGRP,MC3R,1,0,0.0267
AGRP,SDC3,0,0,0.5429
AGT,ADRA2A,1,0,0.0000
AGT,AGTR1,0,0,0.6314
AGT,AGTR2,0,0,0.4798
AGT,GRM7,0,0,0.3572
AGT,LRP2,0,0,0.2411
AGT,MTNR1A,0,0,0.7650
AHSG,INSR,1,1,0.9338
ALB,LRP2,1,1,0.9418
ALOX5AP,ALOX5,1,0,0.0000
AMELX,LAMP1,1,0,0.8171
AMH,ACVR1,1,0,0.8901
AMH,EGFR,0,0,0.5758
ANGPT1,ITGA5,0,0,0.7527
ANGPT1,ITGB1,1,0,0.0737
ANGPT1,TEK,0,0,0.5554
ANGPT1,TIE1,0,0,0.4456
ANGPT2,TEK,1,0,0.0157
ANGPT2,TIE1,0,0,0.2454
ANGPT4,TEK,0,0,0.4363
ANGPT4,TIE1,1,1,0.9030
ANGPTL3,ITGA5,0,0,0.7216
ANGPTL3,ITGAV,1,0,0.0090
ANGPTL3,ITGB3,0,0,0.8495
ANGPTL4,TIE1,0,0,0.2645
ANOS1,FGFR1,1,0,0.0062
ANOS1,SDC2,0,0,0.0666
ANXA1,ADRA2A,0,0,0.2296
ANXA1,DYSF,1,1,0.9877
ANXA1,EGFR,0,0,0.1847
ANXA1,FPR1,0,0,0.5070
ANXA1,FPR2,0,0,0.2561
ANXA1,FPR3,0,0,0.3262
