ligand,receptor,truelabel,pred
A2M,LRP1,1,1,0.9664
ACE,AGTR2,1,1,0.9944
ACTR2,LDLR,0,0,0.0000
ACTR2,LRP2,0,0,0.0000
ADAM10,AXL,1,1,0.9999
ADAM12,ITGA9,1,1,0.9986
ADAM15,ITGA5,1,1,1.0000
ADAM15,ITGA9,0,0,0.0000
ADAM15,ITGB1,0,0,0.0000
ADAM15,ITGB3,0,0,0.0000
ADAM17,ITGB1,0,0,0.0000
ADAM23,ITGA5,0,0,0.0000
ADAM23,ITGB3,1,1,0.9978
ADAM2,CD9,1,1,0.9998
ADAM2,ITGA6,0,0,0.6372
ADAM2,ITGA9,0,0,0.0000
ADAM2,ITGB1,0,0,0.0000
ADAM9,ITGAV,0,0,0.0000
ADCYAP1,ADCYAP1R1,0,0,0.0000
ADCYAP1,ADRB3,0,0,0.0000
ADCYAP1,PTH1R,0,0,0.0000
ADCYAP1,RAMP2,0,0,0.0000
ADIPOQ,ADIPOR1,1,1,0.9908
ADM2,ADCYAP1R1,0,0,0.0000
ADM2,ADRB2,0,0,0.0000
ADM2,ADRB3,0,0,0.0000
ADM2,GPR20,0,0,0.0000
ADM2,PTH1R,0,1,0.9999
ADM2,RAMP3,0,0,0.0000
ADM,ADCYAP1R1,0,0,0.0000
ADM,ADRB2,0,0,0.0000
ADM,GPR84,0,0,0.0000
ADM,VIPR1,0,0,0.0000
AGRN,ATP1A3,1,1,0.9693
AGRN,ITGB1,0,0,0.0000
AGRP,SDC3,0,0,0.0000
AGT,LRP2,0,0,0.6837
AHSG,INSR,1,0,0.8687
ALB,LRP2,1,1,0.9939
AMELX,LAMP1,1,1,0.9318
AMH,ACVR1,1,0,0.8258
AMH,EGFR,0,0,0.0000
ANGPT1,ITGA5,0,0,0.0000
ANGPT4,TEK,0,0,0.6570
ANGPT4,TIE1,1,1,0.9661
ANGPTL4,TIE1,0,0,0.0500
ANXA1,DYSF,1,1,0.9993
ANXA1,GRM7,0,0,0.6438
APLN,GRM7,0,0,0.0000
APOA1,LDLR,1,1,0.9988
APOA1,LRP1,0,0,0.0000
APOA1,LRP2,0,0,0.0000
APOB,CALCR,0,0,0.0000
APOB,ITGAM,0,0,0.0154
APOB,LRP1,0,0,0.0503
APOB,LRP2,0,0,0.1417
APOB,LRP6,0,0,0.0000
APOB,LRP8,0,0,0.2210
APOB,OLR1,0,0,0.0000
APOB,TLR6,1,1,0.9999
APOB,VLDLR,0,0,0.0000
APOC3,LDLR,0,0,0.7250
APOC3,LRP1,0,0,0.0000
APOC3,LRP2,0,0,0.0000
APOC3,TLR2,0,0,0.0000
APOD,LEPR,1,1,0.9890
APOE,CHRNA4,1,1,0.9970
APOE,LDLR,0,0,0.1146
APOE,LRP2,0,0,0.0000
APOE,LRP8,0,0,0.0000
APOE,SCARB1,0,0,0.0000
APP,LRP1,0,1,0.9185
APP,MTNR1A,0,0,0.0000
APP,NGFR,0,0,0.0000
APP,TNFRSF21,1,1,0.9998
AREG,EGFR,1,1,0.9997
ARF1,CHRM3,1,1,1.0000
ARF1,INSR,0,0,0.0000
ARTN,GFRA2,0,0,0.0000
ARTN,GFRA3,0,0,0.6654
ASIP,ATRN,1,1,0.9168
ASIP,F11R,0,0,0.1085
ASIP,MC1R,0,0,0.0000
ASIP,MC3R,0,0,0.5829
AVP,GPR84,0,0,0.0000
AVP,LDLR,0,0,0.7501
AVP,PTH1R,0,0,0.0000
AVP,RAMP2,0,0,0.0000
AVP,RAMP3,1,1,0.9994
B2M,CD247,0,0,0.0113
B2M,KLRC2,0,0,0.0000
B2M,LILRB2,0,0,0.0000
B2M,TFRC,0,0,0.0000
BCAN,NRCAM,1,1,0.9994
BDNF,DDR1,1,1,0.9993
BDNF,NGFR,0,0,0.0000
BDNF,NGFRAP1,0,0,0.0000
BGN,LY96,1,1,0.9999
BGN,TLR1,0,0,0.0197
BMP10,ACVRL1,0,0,0.0000
BMP10,BMPR1A,0,0,0.0000
BMP15,BMPR1B,0,0,0.1662
BMP15,BMPR2,0,0,0.0148
BMP2,ACVR2B,1,1,0.9968
BMP2,BMPR1A,0,0,0.0296
BMP2,BMPR2,0,0,0.0000
BMP2,HFE2,0,0,0.4902
BMP4,BMPR1A,0,0,0.1726
BMP4,HFE2,0,0,0.1841
BMP5,BMPR1A,0,0,0.0170
